country;region;population;area;median_age;perc_urban_pop;world_share
Guinea;SUB-SAHARAN AFRICA;13191279;245720;18;39%;0,17%
Guinea-Bissau;SUB-SAHARAN AFRICA;1975718;28120;19;45%;0,03%
Guyana;LATIN AMER. & CARIB;787215;196850;27;27%;0,01%
Haiti;LATIN AMER. & CARIB;11426356;27560;24;57%;0,15%
Holy See;WESTERN EUROPE;801;0;N.A.;N.A.;0,00%
Honduras;LATIN AMER. & CARIB;9931333;111890;24;57%;0,13%
Hong Kong;ASIA (EX. NEAR EAST);7507523;1050;45;N.A.;0,10%
Hungary;EASTERN EUROPE;9655983;90530;43;72%;0,12%
Iceland;WESTERN EUROPE;341628;100250;37;94%;0,00%
India;ASIA (EX. NEAR EAST);1382345085;2973190;28;35%;17,70%
Indonesia;ASIA (EX. NEAR EAST);274021604;1811570;30;56%;3,51%
Iran;ASIA (EX. NEAR EAST);84176929;1628550;32;76%;1,08%
Iraq;NEAR EAST;40372771;434320;21;73%;0,52%
Ireland;WESTERN EUROPE;4947267;68890;38;63%;0,06%
Isle of Man;WESTERN EUROPE;85112;570;N.A.;53%;0,00%
Israel;NEAR EAST;8678517;21640;30;93%;0,11%
Italy;WESTERN EUROPE;60446035;294140;47;69%;0,78%
Jamaica;LATIN AMER. & CARIB;2963429;10830;31;55%;0,04%
Japan;ASIA (EX. NEAR EAST);126407422;364555;48;92%;1,62%
Jordan;NEAR EAST;10220604;88780;24;91%;0,13%
Kazakhstan;C.W. OF IND. STATES;18815231;2699700;31;58%;0,24%
Kenya;SUB-SAHARAN AFRICA;53968739;569140;20;28%;0,69%
Kiribati;OCEANIA;119760;810;23;57%;0,00%
Kuwait;NEAR EAST;4281320;17820;37;N.A.;0,05%
Kyrgyzstan;C.W. OF IND. STATES;6542426;191800;26;36%;0,08%
Laos;ASIA (EX. NEAR EAST);7293542;230800;24;36%;0,09%
Latvia;BALTICS;1882408;62200;44;69%;0,02%
Lebanon;NEAR EAST;6819976;10230;30;78%;0,09%
Lesotho;SUB-SAHARAN AFRICA;2145194;30360;24;31%;0,03%
Liberia;SUB-SAHARAN AFRICA;5077411;96320;19;53%;0,06%
Libya;NORTHERN AFRICA;6887247;1759540;29;78%;0,09%
Liechtenstein;WESTERN EUROPE;38147;160;N.A.;15%;0,00%
Lithuania;BALTICS;2715340;62674;45;71%;0,03%
Luxembourg;WESTERN EUROPE;627704;2590;40;88%;0,01%
Macao;ASIA (EX. NEAR EAST);650846;30;39;N.A.;0,01%
Madagascar;SUB-SAHARAN AFRICA;27808395;581795;20;39%;0,36%
Malawi;SUB-SAHARAN AFRICA;19211425;94280;18;18%;0,25%
Malaysia;ASIA (EX. NEAR EAST);32436963;328550;30;78%;0,42%
Maldives;ASIA (EX. NEAR EAST);542151;300;30;35%;0,01%
Mali;SUB-SAHARAN AFRICA;20346106;1220190;16;44%;0,26%
Malta;WESTERN EUROPE;441750;320;43;93%;0,01%
